Date,Time,Kitchen_kWh,Living_Room_kWh,Bedroom_kWh,HVAC_kWh,Water_Heater_kWh,Total_kWh,Temperature_C,Occupancy,Day_Type,Festival_Type
2024-01-01,00:00,0.12,0.20,0.08,0.15,0.05,0.60,20,0,Holiday,New_Year
2024-01-01,01:00,0.10,0.18,0.06,0.12,0.04,0.50,19,0,Holiday,New_Year
2024-01-01,02:00,0.08,0.15,0.04,0.10,0.03,0.40,18,0,Holiday,New_Year
2024-01-01,03:00,0.06,0.12,0.02,0.08,0.02,0.30,17,0,Holiday,New_Year
2024-01-01,04:00,0.06,0.10,0.02,0.06,0.01,0.25,16,0,Holiday,New_Year
2024-01-01,05:00,0.08,0.12,0.04,0.08,0.03,0.35,17,0,Holiday,New_Year
2024-01-01,06:00,0.20,0.15,0.12,0.10,0.80,1.37,18,1,Holiday,New_Year
2024-01-01,07:00,0.35,0.25,0.20,0.12,1.20,2.12,20,2,Holiday,New_Year
2024-01-01,08:00,0.50,0.40,0.15,0.15,1.50,2.70,22,3,Holiday,New_Year
2024-01-01,09:00,0.45,0.50,0.12,0.18,0.80,2.05,24,3,Holiday,New_Year
2024-01-01,10:00,0.35,0.60,0.10,0.20,0.60,1.85,26,3,Holiday,New_Year
2024-01-01,11:00,0.30,0.65,0.08,0.25,0.50,1.78,28,3,Holiday,New_Year
2024-01-01,12:00,0.65,0.70,0.15,0.30,0.45,2.25,30,4,Holiday,New_Year
2024-01-01,13:00,0.60,0.75,0.18,0.35,0.40,2.28,31,4,Holiday,New_Year
2024-01-01,14:00,0.55,0.80,0.20,0.40,0.35,2.30,32,4,Holiday,New_Year
2024-01-01,15:00,0.50,0.85,0.22,0.45,0.30,2.32,33,4,Holiday,New_Year
2024-01-01,16:00,0.45,0.80,0.25,0.42,0.35,2.27,32,4,Holiday,New_Year
2024-01-01,17:00,0.70,0.75,0.30,0.38,0.80,2.93,30,4,Holiday,New_Year
2024-01-01,18:00,1.00,0.70,0.35,0.35,1.20,3.60,28,4,Holiday,New_Year
2024-01-01,19:00,1.25,1.00,0.40,0.30,1.50,4.45,26,4,Holiday,New_Year
2024-01-01,20:00,1.50,1.25,0.45,0.25,1.30,4.75,24,4,Holiday,New_Year
2024-01-01,21:00,1.00,1.50,0.50,0.20,0.80,4.00,22,3,Holiday,New_Year
2024-01-01,22:00,0.65,1.30,0.55,0.18,0.60,3.28,20,2,Holiday,New_Year
2024-01-01,23:00,0.30,1.00,0.35,0.15,0.45,2.25,19,1,Holiday,New_Year
2024-01-02,00:00,0.12,0.25,0.12,0.08,0.03,0.60,18,0,Weekday,Regular
2024-01-02,01:00,0.10,0.20,0.10,0.06,0.02,0.48,17,0,Weekday,Regular
2024-01-02,02:00,0.08,0.18,0.06,0.05,0.01,0.38,16,0,Weekday,Regular
2024-01-02,03:00,0.06,0.12,0.04,0.04,0.01,0.27,15,0,Weekday,Regular
2024-01-02,04:00,0.06,0.10,0.02,0.03,0.01,0.22,14,0,Weekday,Regular
2024-01-02,05:00,0.12,0.12,0.06,0.05,0.30,0.65,15,0,Weekday,Regular
2024-01-02,06:00,0.30,0.20,0.15,0.08,1.00,1.73,17,1,Weekday,Regular
2024-01-02,07:00,0.65,0.30,0.28,0.10,1.60,2.93,20,2,Weekday,Regular
2024-01-02,08:00,0.45,0.25,0.12,0.12,0.80,1.74,22,1,Weekday,Regular
2024-01-02,09:00,0.25,0.18,0.04,0.08,0.50,1.05,20,0,Weekday,Regular
2024-01-02,10:00,0.20,0.12,0.02,0.06,0.35,0.75,18,0,Weekday,Regular
2024-01-02,11:00,0.18,0.10,0.02,0.05,0.25,0.60,16,0,Weekday,Regular
2024-01-02,12:00,0.28,0.20,0.06,0.08,0.40,1.02,18,0,Weekday,Regular
2024-01-02,13:00,0.25,0.18,0.04,0.10,0.35,0.92,20,0,Weekday,Regular
2024-01-02,14:00,0.20,0.15,0.02,0.12,0.30,0.79,22,0,Weekday,Regular
2024-01-02,15:00,0.18,0.12,0.02,0.15,0.25,0.72,24,0,Weekday,Regular
2024-01-02,16:00,0.20,0.18,0.04,0.18,0.35,0.95,26,0,Weekday,Regular
2024-01-02,17:00,0.50,0.30,0.20,0.15,0.80,1.95,24,2,Weekday,Regular
2024-01-02,18:00,1.00,0.65,0.35,0.12,1.40,3.52,22,3,Weekday,Regular
2024-01-02,19:00,1.50,1.00,0.50,0.10,1.80,4.90,20,4,Weekday,Regular
2024-01-02,20:00,1.30,1.25,0.60,0.08,1.50,4.73,18,4,Weekday,Regular
2024-01-02,21:00,1.00,1.50,0.70,0.06,1.20,4.46,16,3,Weekday,Regular
2024-01-02,22:00,0.65,1.30,0.50,0.05,0.80,3.30,15,2,Weekday,Regular
2024-01-02,23:00,0.30,1.00,0.35,0.04,0.50,2.19,14,1,Weekday,Regular
